company,address,longitude,latitude,status,link_to_page,note
Amazon,,-1,-1,Active,https://www.datacentermap.com,
Amazon,54-80 Ferris Rd Cobblebank  Australia,144.5985988408571,-37.7010792,Land Banked,https://www.datacentermap.com/australia/melbourne/amazon-aws-54-80-ferris-rd/,
Amazon,"Merrifield Business Park, 55 Donnybrook Rd Mickleham Australia",-1,-1,Land Banked,https://www.datacentermap.com/australia/melbourne/amazon-aws-55-donnybrook-rd/,
Amazon,22 Delivery Dr Truganina Australia,144.7560436,-37.8388077,Active,https://www.datacentermap.com/australia/melbourne/amazon-aws-mel-22-delivery/,
Amazon,1 William Dean Street Smeaton Grange Australia,150.8695691199099,-33.79479725,Active,https://www.datacentermap.com/australia/sydney/aws-syd-bluett-turner-campus/,
Amazon,1 William Dean Street Eastern Creek Australia,150.8695691199099,-33.79479725,Active,https://www.datacentermap.com/australia/sydney/aws-syd-william-dean-campus/,
Amazon,11-17 Khartoum Rd Macquarie Park Australia,151.12563088934593,-33.77934865,Active,https://www.datacentermap.com/australia/sydney/amazon-aws-11-17-khartoum-rd/,
Amazon,1 William Dean Street Smeaton Grange Australia  ,150.8695691199099,-33.79479725,Active,https://www.datacentermap.com/australia/sydney/amazon-aws-syd-146-turner/,Part of Amazon AWS SYD - Bluett &amp; Turner Campus
Amazon,1 William Dean Street Smeaton Grange Australia  ,150.8695691199099,-33.79479725,Active,https://www.datacentermap.com/australia/sydney/amazon-aws-syd-148-turner/,Part of Amazon AWS SYD - Bluett &amp; Turner Campus
Amazon,1 William Dean Street Eastern Creek Australia  ,150.8695691199099,-33.79479725,Active,https://www.datacentermap.com/australia/sydney/amazon-aws-syd-1-william-a/,Part of Amazon AWS SYD - William Dean Campus
Amazon,1 William Dean Street Eastern Creek Australia  ,150.8695691199099,-33.79479725,Active,https://www.datacentermap.com/australia/sydney/amazon-aws-syd-1-william-b/,Part of Amazon AWS SYD - William Dean Campus
Amazon,1 William Dean Street Smeaton Grange Australia  ,150.8695691199099,-33.79479725,Active,https://www.datacentermap.com/australia/sydney/amazon-aws-syd-42a-bluett/,Part of Amazon AWS SYD - Bluett &amp; Turner Campus
Amazon,10 Eastern Creek Dr Eastern Creek Australia,150.83890055688937,-33.80980325,Active,https://www.datacentermap.com/australia/sydney/amazon-aws-syd-eastern-creek/,
Amazon,Road 5156 Askar Bahrain,50.60486797008756,26.062542843501927,Active,https://www.datacentermap.com/bahrain/askar/amazon-aws-bah-askar/,
Amazon,1440 Road 1429 Saar Bahrain,50.507144378737664,26.078289889024553,Active,https://www.datacentermap.com/bahrain/saar/amazon-aws-bah-saar/,
Amazon,Road 5428 Zallaq Bahrain,50.5000523,26.048043149999998,Active,https://www.datacentermap.com/bahrain/zallaq/amazon-aws-bah-zallaq/,
Amazon,"1790 Boulevard Lionel-Boulet Varennes Quebec, Canada",-73.42597515669956,45.673577102140335,Active,https://www.datacentermap.com/canada/montreal/amazon-aws-yul-lionel-boulet-campus/,
Amazon,"1790 Boulevard Lionel-Boulet Varennes Quebec, Canada  ",-73.42597515669956,45.673577102140335,Active,https://www.datacentermap.com/canada/montreal/amazon-aws-yul-1790-lionel-boulet-a/,Part of Amazon AWS YUL - Lionel-Boulet Campus
Amazon,"1790 Boulevard Lionel-Boulet Varennes Quebec, Canada  ",-73.42597515669956,45.673577102140335,Under Construction,https://www.datacentermap.com/canada/montreal/amazon-aws-yul-1790-lionel-boulet-b/,Part of Amazon AWS YUL - Lionel-Boulet Campus
Amazon,Av. Américo Vespucio &amp; Camino el Guanaco Huechuraba Chile,-1,-1,Planned,https://www.datacentermap.com/chile/santiago/amazon-aws-scl-huechuraba/,
Amazon,"TBD, Padre Hurtado District Santiago Chile",-70.8020467,-33.5673051,Planned,https://www.datacentermap.com/chile/santiago/amazon-aws-scl-hurtado/,
Amazon,Temple Circuit Rd Zhongwei China,-1,-1,Active,https://www.datacentermap.com/china/zhongwei/amazon-aws-sikouzi/,
Amazon,Yingda Line Zhongwei China,116.44809768299369,39.75125581758926,Active,https://www.datacentermap.com/china/zhongwei/amazon-aws-yingshuiqiao/,
Amazon,"Zhongwei Industrial Park, Huaiyun Road Zhongwei China",120.70015692150164,31.32917545,Active,https://www.datacentermap.com/china/zhongwei/amazon-aws-zhongwei-industrial-park/,
Amazon,"26, FAB City Kongar Khurd B India",77.6516841,12.9131111,Active,https://www.datacentermap.com/india/hyderabad/amazon-aws-hyd-fab-campus/,
Amazon,Vavillakunta Thanda Vailkunta Tanda India,79.2819657,17.9964319,Active,https://www.datacentermap.com/india/hyderabad/amazon-aws-hyd-kandukur-campus/,
Amazon,Hyathabad - Shahabad Rd Shahabad India,77.1194361,28.7474738,Active,https://www.datacentermap.com/india/hyderabad/amazon-aws-hyd-shahabad-campus/,
Amazon,"26, FAB City Kongar Khurd B India  ",77.6516841,12.9131111,Active,https://www.datacentermap.com/india/hyderabad/amazon-aws-hyd-fab-a/,Part of Amazon AWS HYD - FAB Campus
Amazon,"26, FAB City Kongar Khurd B India  ",77.6516841,12.9131111,Under Construction,https://www.datacentermap.com/india/hyderabad/amazon-aws-hyd-fab-b/,Part of Amazon AWS HYD - FAB Campus
Amazon,Vavillakunta Thanda Vailkunta Tanda India  ,79.2819657,17.9964319,Active,https://www.datacentermap.com/india/hyderabad/amazon-aws-hyd-kandukur-a/,Part of Amazon AWS HYD - Kandukur Campus
Amazon,Vavillakunta Thanda Vailkunta Tanda India  ,79.2819657,17.9964319,Under Construction,https://www.datacentermap.com/india/hyderabad/amazon-aws-hyd-kandukur-b/,Part of Amazon AWS HYD - Kandukur Campus
Amazon,Hyathabad - Shahabad Rd Shahabad India  ,77.1194361,28.7474738,Active,https://www.datacentermap.com/india/hyderabad/amazon-aws-hyd-shahabad-a/,Part of Amazon AWS HYD - Shahabad Campus
Amazon,Hyathabad - Shahabad Rd Shahabad India  ,77.1194361,28.7474738,Under Construction,https://www.datacentermap.com/india/hyderabad/amazon-aws-hyd-shahabad-b/,Part of Amazon AWS HYD - Shahabad Campus
Amazon,MIDC Industrial Area Rabale India,74.63945745986379,16.85006775,Active,https://www.datacentermap.com/india/navi-mumbai/amazon-aws-bom-midc-industrial/,
Amazon,,-1,-1,Under Construction,https://www.datacentermap.com/india/navi-mumbai/amazon-aws-bom-ttc-industrial/,within TTC Industrial Area</i> Airoli India
Amazon,Jalan Surya Utama Kutanegara Indonesia,114.57619086877752,-3.2943596,Active,https://www.datacentermap.com/indonesia/jakarta/amazon-aws-cgk-kutanegara/,
Amazon,Karawang International Industrial City Margamulya Indonesia,107.2730857038793,-6.3717599,Active,https://www.datacentermap.com/indonesia/jakarta/amazon-aws-cgk-margamulya/,
Amazon,Greenland International Industrial Center Sukamahi Indonesia,107.19114476055202,-6.3835583499999995,Active,https://www.datacentermap.com/indonesia/jakarta/amazon-aws-cgk-sukamahi/,
Amazon,"IDA Business Park, Donore Rd Rathmullan Ireland",-1,-1,Active,https://www.datacentermap.com/ireland/drogheda/amazon-aws-ida-business-park/,
Amazon,"Blanchardstown Industrial Park, Snugborough Road Blanchardstown Ireland",-6.366487978326507,53.404298,Active,https://www.datacentermap.com/ireland/dublin/aws-dub-blanchardstown-campus/,
Amazon,Clonshaugh Business &amp; Technology Park Priorswood Ireland,-1,-1,Active,https://www.datacentermap.com/ireland/dublin/amazon-aws-dub-clonshaugh-campus/,
Amazon,"Hibernian Industrial Estate, 30A Greenhills Road Kilnamanagh Ireland",-1,-1,Active,https://www.datacentermap.com/ireland/dublin/amazon-aws-dub-hibernian-campus/,
Amazon,Cruiserath Road Mulhuddart Ireland,-6.386607507826351,53.41341382033228,Active,https://www.datacentermap.com/ireland/dublin/amazon-aws-dub-mulhuddart-campus/,
Amazon,Airton Road / Belgard Road Tallaght Ireland,-6.363056549117647,53.2909893,Active,https://www.datacentermap.com/ireland/dublin/amazon-aws-dub-tallaght-campus/,
Amazon,Airton Road / Belgard Road Tallaght Ireland  ,-6.363056549117647,53.2909893,Active,https://www.datacentermap.com/ireland/dublin/amazon-aws-dub-airton-1/,Part of Amazon AWS DUB - Tallaght Campus
Amazon,Airton Road / Belgard Road Tallaght Ireland  ,-6.363056549117647,53.2909893,Active,https://www.datacentermap.com/ireland/dublin/amazon-aws-dub-airton-2/,Part of Amazon AWS DUB - Tallaght Campus
Amazon,"Blanchardstown Industrial Park, Snugborough Road Blanchardstown Ireland  ",-6.366487978326507,53.404298,Active,https://www.datacentermap.com/ireland/dublin/amazon-aws-dub-blanchardstown-1/,Part of Amazon AWS DUB - Blanchardstown Campus
Amazon,"Blanchardstown Industrial Park, Snugborough Road Blanchardstown Ireland  ",-6.366487978326507,53.404298,Active,https://www.datacentermap.com/ireland/dublin/amazon-aws-dub-blanchardstown-2/,Part of Amazon AWS DUB - Blanchardstown Campus
Amazon,"Blanchardstown Industrial Park, Snugborough Road Blanchardstown Ireland  ",-6.366487978326507,53.404298,Active,https://www.datacentermap.com/ireland/dublin/amazon-aws-dub-blanchardstown-3/,Part of Amazon AWS DUB - Blanchardstown Campus
Amazon,"Blanchardstown Industrial Park, Snugborough Road Blanchardstown Ireland  ",-6.366487978326507,53.404298,Active,https://www.datacentermap.com/ireland/dublin/amazon-aws-dub-blanchardstown-4/,Part of Amazon AWS DUB - Blanchardstown Campus
Amazon,Clonshaugh Business &amp; Technology Park Priorswood Ireland  ,-1,-1,Active,https://www.datacentermap.com/ireland/dublin/amazon-aws-dub-clonshaugh-1/,Part of Amazon AWS DUB - Clonshaugh Campus
Amazon,Clonshaugh Business &amp; Technology Park Priorswood Ireland  ,-1,-1,Active,https://www.datacentermap.com/ireland/dublin/amazon-aws-dub-clonshaugh-2/,Part of Amazon AWS DUB - Clonshaugh Campus
Amazon,Clonshaugh Business &amp; Technology Park Priorswood Ireland  ,-1,-1,Active,https://www.datacentermap.com/ireland/dublin/amazon-aws-dub-clonshaugh-3/,Part of Amazon AWS DUB - Clonshaugh Campus
Amazon,Clonshaugh Business &amp; Technology Park Priorswood Ireland  ,-1,-1,Active,https://www.datacentermap.com/ireland/dublin/amazon-aws-dub-clonshaugh-4/,Part of Amazon AWS DUB - Clonshaugh Campus
Amazon,"Hibernian Industrial Estate, 30A Greenhills Road Kilnamanagh Ireland  ",-1,-1,Active,https://www.datacentermap.com/ireland/dublin/amazon-aws-dub-hibernian-1/,Part of Amazon AWS DUB - Hibernian Campus
Amazon,"Hibernian Industrial Estate, 30A Greenhills Road Kilnamanagh Ireland  ",-1,-1,Active,https://www.datacentermap.com/ireland/dublin/amazon-aws-dub-hibernian-2/,Part of Amazon AWS DUB - Hibernian Campus
Amazon,"Hibernian Industrial Estate, 30A Greenhills Road Kilnamanagh Ireland  ",-1,-1,Active,https://www.datacentermap.com/ireland/dublin/amazon-aws-dub-hibernian-3/,Part of Amazon AWS DUB - Hibernian Campus
Amazon,"Hibernian Industrial Estate, 30A Greenhills Road Kilnamanagh Ireland  ",-1,-1,Active,https://www.datacentermap.com/ireland/dublin/amazon-aws-dub-hibernian-4/,Part of Amazon AWS DUB - Hibernian Campus
Amazon,"Hibernian Industrial Estate, 30A Greenhills Road Kilnamanagh Ireland  ",-1,-1,Active,https://www.datacentermap.com/ireland/dublin/amazon-aws-dub-hibernian-5/,Part of Amazon AWS DUB - Hibernian Campus
Amazon,Cruiserath Road Mulhuddart Ireland  ,-6.386607507826351,53.41341382033228,Active,https://www.datacentermap.com/ireland/dublin/amazon-aws-dub-mulhuddart-1/,Part of Amazon AWS DUB - Mulhuddart Campus
Amazon,Cruiserath Road Mulhuddart Ireland  ,-6.386607507826351,53.41341382033228,Active,https://www.datacentermap.com/ireland/dublin/amazon-aws-dub-mulhuddart-2/,Part of Amazon AWS DUB - Mulhuddart Campus
