company,address,longitude,latitude,status,link_to_page,note
Google,,-1,-1,Active,https://www.datacentermap.com,
Google,Stöffelbauerstraße Winkling Austria,14.45254805,48.07730425,Planned,https://www.datacentermap.com/austria/linz/google-kronstorf/,
Google,Rue de Ghlin 100 Saint-Ghislain Belgium,3.8747410081379385,50.47146713535706,Active,https://www.datacentermap.com/belgium/mons/google-saint-ghislain/,
Google,"Ecopole eco-business park, Rue de Moignelée Farciennes Belgium",4.5576124,50.44195115,Under Construction,https://www.datacentermap.com/belgium/namur/google-farciennes/,
Google,El Molino 2130 Quilicura Chile,-70.6971158579212,-33.35842205,Active,https://www.datacentermap.com/chile/santiago/google-quilicura/,
Google,Prinsessens Kvartér 10 Fredericia Denmark,9.653452,55.555402,Active,https://www.datacentermap.com/denmark/fredericia/google-fredericia/,
Google,Kassøvej 26 Rødekro Denmark,12.177505,56.09695,Land Banked,https://www.datacentermap.com/denmark/aabenraa/google-aabenraa-data-center/,
Google,Ensontie 1 Hamina Finland,26.927431,60.4646759,Active,https://www.datacentermap.com/finland/hamina/google-hamina/,
Google,Ryynäsentie Otanmäki Finland,-1,-1,Land Banked,https://www.datacentermap.com/finland/kajaani/google-kajaani/,
Google,,-1,-1,Land Banked,https://www.datacentermap.com/finland/oulu/google-muhos/,within 44km to Oulu</i> Tahvola Finland
Google,Marie-Curie-Straße Hanau Germany,8.969553600000001,50.125563650000004,Active,https://www.datacentermap.com/germany/frankfurt/google-hanau-data-center/,
Google,"Grange Castle Business Park South, 22 Baldonnel Rd Dublin Ireland",-6.450841383576344,53.3266341,Active,https://www.datacentermap.com/ireland/dublin/google-dublin-campus/,
Google,Grange Castle Business Park Dublin Ireland  ,-6.4436437665560415,53.32846603405788,Active,https://www.datacentermap.com/ireland/dublin/google-dublin/,Part of Google Dublin Campus
Google,"Grange Castle Business Park South, 22 Baldonnel Rd Dublin Ireland  ",-6.450841383576344,53.3266341,Active,https://www.datacentermap.com/ireland/dublin/google-dublin-ii-data-center/,Part of Google Dublin Campus
Google,2 Chome-2-4 Kagurominami Inzai City Japan,133.934919,34.661752,Active,https://www.datacentermap.com/japan/inzai-city/google-inzai/,
Google,,-1,-1,Under Construction,https://www.datacentermap.com/malaysia/kuala-lumpur/google-malaysia/,within Elmina Business Park</i> Sungai Buloh Malaysia
Google,"Springhill Industrial Park, Persiaran Springhill Port Dickson Malaysia",101.86850044297107,2.607898136060585,Land Banked,https://www.datacentermap.com/malaysia/kuala-lumpur/google-port-dickson/,
Google,"Tecnoparque da Lagoa, Lot 32B Lagoa Portugal",-31.188741846259845,39.42550805,Under Construction,https://www.datacentermap.com/portugal/azores/google-azores-cls/,
Google,2 Jurong West Street 23 Singapore Singapore,103.70993827086286,1.3515839,Active,https://www.datacentermap.com/singapore/singapore/google-jurong-west-campus/,
Google,2 Jurong West Street 23 Singapore Singapore  ,103.70993827086286,1.3515839,Active,https://www.datacentermap.com/singapore/singapore/google-singapore/,Part of Google Jurong West Campus
Google,2 Jurong West Street 23 Singapore Singapore  ,103.70993827086286,1.3515839,Active,https://www.datacentermap.com/singapore/singapore/google-jurong-west-2-data-center/,Part of Google Jurong West Campus
Google,1 Lok Yang Way Singapore Singapore,103.7900874,1.2982805,Active,https://www.datacentermap.com/singapore/singapore/google-lok-yang-data-center/,
Google,"No. 85, Zhangbin West 2nd Rd Xianxi Taiwan",120.4274815,24.1398351,Active,https://www.datacentermap.com/taiwan/taichung/google-changhua-county/,
Google,Tussenweg 8 Middenmeer The Netherlands,5.0292698,52.79206,Active,https://www.datacentermap.com/the-netherlands/amsterdam/google-middenmeer/,
