"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","NVIDIA","NVDA","4360306950144","179.09","United States"
"2","Microsoft","MSFT","3804368732160","511.81","United States"
"3","Apple","AAPL","3687391690752","248.47","United States"
"4","Alphabet (Google)","GOOG","3026944262144","250.7","United States"
"5","Amazon", "AMZN", "2640000000000", "244.22", "United States"
"6","Meta Platforms (Facebook)","META","1797613158400","715.57","United States"
"7","Tesla","TSLA","1440023183360","433.07","United States"
"8","Oracle","ORCL","862022729728","302.38","United States"
"9","Palantir","PLTR","423728840704","178.612","United States"
"10","IBM","IBM","261020991488","280.21","United States"
"11","Adobe","ADBE","138503847936","330.874","United States"
"12","Cambricon Technologies","688256.SS","72917884498","174.299","China"
"13","CoreWeave","CRWV","68700422144","138.76","United States"
"14","Tempus AI","TEM","15979460608","91.98","United States"
"15","Dynatrace","DT","14378831872","47.69","United States"
"16","SenseTime","0020.HK","12536203657","0.32415","China"
"17","Mobileye","MBLY","12397845504","15.235","Israel"
"18","Aurora Innovation","AUR","10177006592","5.515","United States"
"19","UiPath","PATH","8865405952","16.695","United States"
"20","SoundHound AI","SOUN","8634796032","21.18","United States"
"21","Pony AI","PONY","7578390016","21.33","China"
"22","Presight AI","PRESIGHT.AE","5756956035","1.03","United Arab Emirates"
"23","SentinelOne","S","5652489728","16.865","United States"
"24","Upstart","UPST","4930678272","51.245","United States"
"25","WeRide","WRD","3476647168","11.115","China"
"26","BigBear.ai","BBAI","3156537856","8.515","United States"
"26","Recursion Pharmaceuticals","RXRX","2968530176","6.8","United States"
"27","ODDITY Tech","ODD","2929382400","51","Israel"
"28","C3 AI","AI","2652710656","19.2435","United States"
"29","Innodata","INOD","2636578816","82.7925","United States"
"30","Bayanat AI","BAYANAT.AE","1645434212","0.64","United Arab Emirates"
"31","WhiteFiber","WYFI","1381936384","36.535","United States"
"32","PROS","PRO","1107415424","22.95","United States"
"33","Serve Robotics","SERV","1068116224","17.3458","United States"
"34","Cerence","CRNC","515937056","11.91","United States"
"35","Palladyne AI","PDYN","416132800","9.92","United States"
"36","Nano-X Imaging","NNOX","279409760","4.3699","Israel"
"37","stem","STEM","250026864","29.8089","United States"
"38","Arrive AI","ARAI","207070816","6.27","United States"
"39","Airship AI","AISP","182521456","5.72","United States"
"40","Duos Technologies Group","DUOT","178632800","8.82","United States"
"41","One Stop Systems","OSS","153729552","6.2801","United States"
"42","Almawave","AIW.MI","149825519","4.99709","Italy"
"43","Appen","APX.AX","141659003","0.533333","Australia"
"44","Zenvia","ZENV","72890560","1.39","Brazil"
"45","Knightscope","KSCP","65477584","6.43","United States"
"46","Odysight.ai","ODYS","61005056","3.73","Israel"
"47","iLearningEngines","AILE","59292656","0.42","United States"
"48","Avant Technologies Inc.","AVAI","49202536","0.3575","United States"
"49","VERSES AI","VERS.NE","48698480","4.80359","Canada"
"50","Lantern Pharma","LTRN","47949412","4.44","United States"
"51","reAlpha Tech","AIRE","43027536","0.476","United States"
"52","authID","AUID","36284652","2.699","United States"
"53","Semilux International","SELX","33951260","0.9071","Taiwan"
"54","SIMPPLE","SPPL","30700808","6.3","Singapore"
"55","Xiao-I","AIXI","20544922","1.555","China"
"56","Bullfrog AI","BFRG","15596230","1.5","United States"
"57","Gaxos.ai","GXAI","13783881","1.935","United States"
"58","Orangekloud Technology","ORKT","11096109","1.9001","Singapore"
"59","Jet.AI","JTAI","10713843","3.06","United States"
"60","Lucas GC","LGCL","10213242","3.6601","China"
"61","Baijiayun Group","RTC","9116435","0.3105","China"
"62","Fr8Tech 
 (Freight Technologies)","FRGT","3550495","1.29","United States"
"63","Presto Automation","PRST","41852","0.0001","United States"
